"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_05-06,KLO_07-08,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21
1429,kt91_Rajajooseppi,2020/05/18,2,"11 HA-PA",,,,,,,2,,,,,,,
1429,kt91_Rajajooseppi,2020/05/18,2,"14 KAPP",,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/05/19,1,"11 HA-PA",,1,2,,1,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/05/19,1,"14 KAPP",,,,3,,,,2,2,,2,,,
1429,kt91_Rajajooseppi,2020/05/19,1,"16 HA + PK",,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/05/19,1,"17 HA + AV",,,,1,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/19,2,"11 HA-PA",,1,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/19,2,"12 KAIP",,,,,,,1,,,1,,,,
1429,kt91_Rajajooseppi,2020/05/19,2,"14 KAPP",,,,,,1,3,,,3,,,,
1429,kt91_Rajajooseppi,2020/05/19,2,"17 HA + AV",,,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/20,1,"11 HA-PA",1,,,,,,,,,,,1,,
1429,kt91_Rajajooseppi,2020/05/20,1,"14 KAPP",,,,3,,,,1,2,,2,,,
1429,kt91_Rajajooseppi,2020/05/20,1,"15 KATP",,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/20,1,"17 HA + AV",,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/05/20,2,"11 HA-PA",,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/05/20,2,"12 KAIP",,,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/20,2,"14 KAPP",,,,,,1,3,,,1,1,,,
1429,kt91_Rajajooseppi,2020/05/21,1,"11 HA-PA",,,,,1,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/05/21,1,"12 KAIP",,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/21,1,"14 KAPP",,,,2,,,2,2,,2,,,,
1429,kt91_Rajajooseppi,2020/05/21,1,"15 KATP",,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/21,2,"11 HA-PA",,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/05/21,2,"14 KAPP",,,,,1,2,1,,1,2,,,,
1429,kt91_Rajajooseppi,2020/05/21,2,"15 KATP",,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/05/22,1,"12 KAIP",,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/22,2,"11 HA-PA",,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/05/22,2,"14 KAPP",,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/05/23,1,"11 HA-PA",,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/23,2,"11 HA-PA",,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/24,1,"14 KAPP",,,,,,,,,,2,,,,
1429,kt91_Rajajooseppi,2020/05/25,1,"14 KAPP",,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/05/25,1,"15 KATP",,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/05/25,2,"11 HA-PA",,,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/25,2,"14 KAPP",,,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/26,1,"14 KAPP",,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/05/26,2,"14 KAPP",,,,,,2,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/27,1,"11 HA-PA",,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/05/27,1,"14 KAPP",,,,,,,,,,1,,,,
1429,kt91_Rajajooseppi,2020/05/27,2,"14 KAPP",,,,,,2,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/28,1,"11 HA-PA",,,,,,,2,,,,,,,
1429,kt91_Rajajooseppi,2020/05/28,1,"12 KAIP",,,,,,,,,,,,,,1
1429,kt91_Rajajooseppi,2020/05/28,2,"11 HA-PA",,,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/05/30,1,"11 HA-PA",,,,,,,,,,,,,2,
1429,kt91_Rajajooseppi,2020/05/30,2,"11 HA-PA",,,,,,,,,,,,,2,
1429,kt91_Rajajooseppi,2020/05/31,1,"11 HA-PA",,,,,,,1,,,,,,,
