"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1429,kt91_Rajajooseppi,2020/07/18,2,"12 KAIP",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/07/19,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/20,2,"11 HA-PA",,,,,,,,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/07/20,2,"14 KAPP",,,,,,,,,,,,2,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/21,1,"11 HA-PA",,1,,,,,,,,1,,,13,3,,2,,1,,
1429,kt91_Rajajooseppi,2020/07/21,1,"12 KAIP",,1,,,,,,,1,,,2,1,1,1,,,1,,
1429,kt91_Rajajooseppi,2020/07/21,1,"14 KAPP",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/21,1,"15 KATP",,,,,,,,,,,,,3,,,,1,,,1
1429,kt91_Rajajooseppi,2020/07/21,1,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/21,2,"11 HA-PA",,,,,,,,,,,1,,2,1,,,,1,,
1429,kt91_Rajajooseppi,2020/07/21,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,1
1429,kt91_Rajajooseppi,2020/07/22,1,"11 HA-PA",,,,,,,,,,,,,,,2,1,1,2,,
1429,kt91_Rajajooseppi,2020/07/22,1,"14 KAPP",,,,,,,,,,,,,,1,,,1,,,
1429,kt91_Rajajooseppi,2020/07/22,1,"16 HA + PK",,,,,,,,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/07/22,1,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/07/22,2,"11 HA-PA",,,,,,,,,,,,,,,1,,4,1,1,
1429,kt91_Rajajooseppi,2020/07/22,2,"12 KAIP",,,,,,,,,,,,,,,,,3,,,
1429,kt91_Rajajooseppi,2020/07/22,2,"14 KAPP",,,,,,,,,,2,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/22,2,"16 HA + PK",,,,,,,,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/07/23,1,"11 HA-PA",,,,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/24,1,"11 HA-PA",,,,,,,1,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/07/24,2,"11 HA-PA",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/24,2,"12 KAIP",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/07/25,1,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/07/25,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/26,1,"11 HA-PA",,,,,,,,,,,1,1,,,,1,,,,
1429,kt91_Rajajooseppi,2020/07/26,1,"12 KAIP",,,,,,,,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/26,2,"11 HA-PA",,,,,,,,,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/27,1,"11 HA-PA",,,,,,,1,1,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/27,1,"14 KAPP",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/27,1,"15 KATP",,,,,,,,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/27,1,"17 HA + AV",,,,,,,,,,,,,,,,,,,1,
1429,kt91_Rajajooseppi,2020/07/27,2,"11 HA-PA",,,,,,,,1,,1,1,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/27,2,"14 KAPP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/28,1,"11 HA-PA",1,2,1,,,,2,,,1,,,,2,,,,,,
1429,kt91_Rajajooseppi,2020/07/28,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/28,2,"11 HA-PA",,2,1,,,1,,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/28,2,"14 KAPP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/29,1,"11 HA-PA",,,,,,2,,,,,,1,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/29,1,"14 KAPP",,,,,,,2,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/29,2,"11 HA-PA",,,,,,,1,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/29,2,"14 KAPP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/30,1,"11 HA-PA",,,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/30,1,"14 KAPP",,,,,,,1,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/30,2,"14 KAPP",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/07/31,1,"11 HA-PA",,,,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/31,1,"14 KAPP",,,,,,,1,,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/07/31,1,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/07/31,2,"14 KAPP",,,,,,,,1,,2,,,1,,,,,,,
