"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_23-00
1252,st866_Kuusamo_T,2020/07/04,1,"15 KATP",,,,,,,,1,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/07/04,2,"11 HA-PA",,,,,,,,,,,,2,,,1,1,,2,3,
1252,st866_Kuusamo_T,2020/07/04,2,"14 KAPP",,,,,,,,,,,,,1,,2,,,,,
1252,st866_Kuusamo_T,2020/07/04,2,"15 KATP",,,,,,,,,,,1,,,,,1,1,,,
1252,st866_Kuusamo_T,2020/07/05,1,"11 HA-PA",,,,,,,4,1,,,1,,2,1,,1,,1,,
1252,st866_Kuusamo_T,2020/07/05,1,"14 KAPP",,,,,,,,,,,,,2,,,,,,,
1252,st866_Kuusamo_T,2020/07/05,1,"15 KATP",,,,,,,1,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/05,2,"11 HA-PA",,,,,,,,,,1,,1,,,3,1,,1,3,
1252,st866_Kuusamo_T,2020/07/05,2,"14 KAPP",,,,,,,,,,,,,,,,1,1,1,,
1252,st866_Kuusamo_T,2020/07/05,2,"15 KATP",,,,,,,,,,,1,,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/05,2,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/06,1,"11 HA-PA",,,,,,,4,1,3,,3,,,4,,,1,,,
1252,st866_Kuusamo_T,2020/07/06,1,"12 KAIP",,,,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/06,1,"14 KAPP",,,,,,,,,,,,1,,2,,1,,1,,
1252,st866_Kuusamo_T,2020/07/06,1,"15 KATP",,,,,,,2,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/06,2,"11 HA-PA",,,,,,,,,,2,1,2,1,1,,,3,2,2,
1252,st866_Kuusamo_T,2020/07/06,2,"14 KAPP",,,,,,,,,,,,,,,1,,,2,,
1252,st866_Kuusamo_T,2020/07/06,2,"15 KATP",,,,,,,,,,,,,1,2,,,,,,
1252,st866_Kuusamo_T,2020/07/07,1,"11 HA-PA",,,,,,,3,,,,2,1,,,,1,1,,,
1252,st866_Kuusamo_T,2020/07/07,1,"14 KAPP",,,,,,,,,1,,,,1,1,3,,,,,
1252,st866_Kuusamo_T,2020/07/07,1,"15 KATP",,,,,,,,4,,,,1,1,,,1,,,,
1252,st866_Kuusamo_T,2020/07/07,2,"11 HA-PA",,,,,,,,,,,2,1,,,,,2,1,2,
1252,st866_Kuusamo_T,2020/07/07,2,"14 KAPP",,,,,,,,,1,,,1,1,1,,,1,,,
1252,st866_Kuusamo_T,2020/07/07,2,"15 KATP",,,,,,,,,,,1,1,,1,,1,2,1,,
1252,st866_Kuusamo_T,2020/07/08,1,"11 HA-PA",,,,,,,5,,1,,2,1,,1,,1,,,,
1252,st866_Kuusamo_T,2020/07/08,1,"14 KAPP",,,,,,,,,1,1,,,1,,1,,,,,
1252,st866_Kuusamo_T,2020/07/08,1,"15 KATP",,,,,,,,3,1,,,1,1,,,1,,,,
1252,st866_Kuusamo_T,2020/07/08,2,"11 HA-PA",,,,,,,,,,,3,,2,,1,1,,1,2,
1252,st866_Kuusamo_T,2020/07/08,2,"14 KAPP",,,,,,,,,1,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/07/08,2,"15 KATP",,,,,,,,,,,1,1,,1,2,1,1,,,
1252,st866_Kuusamo_T,2020/07/09,1,"11 HA-PA",,,,,,,6,1,1,,,4,2,1,1,4,,1,,
1252,st866_Kuusamo_T,2020/07/09,1,"12 KAIP",,,,,,,,,,,,,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/09,1,"13 Linja-autot",,,,,,,,,,,2,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/09,1,"14 KAPP",,,,,,,,1,1,,1,,1,,,2,,,,
1252,st866_Kuusamo_T,2020/07/09,1,"15 KATP",,,,,,,,3,1,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/09,2,"11 HA-PA",,,,,,,,1,1,,1,2,2,1,1,,1,2,2,
1252,st866_Kuusamo_T,2020/07/09,2,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/09,2,"14 KAPP",,,,,,,,,1,,,1,1,2,,2,,,,
1252,st866_Kuusamo_T,2020/07/09,2,"15 KATP",,,,,,,,,1,,,1,1,2,,,,1,,
1252,st866_Kuusamo_T,2020/07/10,1,"11 HA-PA",,,,,,2,4,1,1,,1,2,,,,,2,,,
1252,st866_Kuusamo_T,2020/07/10,1,"12 KAIP",,,,,,,,,,,1,,,,,,,,1,
1252,st866_Kuusamo_T,2020/07/10,1,"13 Linja-autot",,,,,,,,,,,,2,,,,,,,,
1252,st866_Kuusamo_T,2020/07/10,1,"14 KAPP",,,,,,,,,3,,,1,,,,,1,,,
1252,st866_Kuusamo_T,2020/07/10,1,"15 KATP",,,,,,,,3,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/10,2,"11 HA-PA",,,,,,,,,,4,2,,1,,,1,2,,3,
1252,st866_Kuusamo_T,2020/07/10,2,"12 KAIP",,,,,,,,,,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/07/10,2,"14 KAPP",,,,,,,,,2,1,,1,1,,,4,,,,
1252,st866_Kuusamo_T,2020/07/10,2,"15 KATP",,,,,,,,,,,1,,1,2,,,,,,
1252,st866_Kuusamo_T,2020/07/11,1,"11 HA-PA",,,,,,,3,2,,3,2,1,,1,,,,1,,
1252,st866_Kuusamo_T,2020/07/11,1,"14 KAPP",,,,,,,1,3,1,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/11,1,"15 KATP",,,,,,,,1,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/07/11,2,"11 HA-PA",,,,,,,,1,1,3,3,,,,1,,,1,3,
1252,st866_Kuusamo_T,2020/07/11,2,"14 KAPP",,,,,,,,,1,,,1,1,2,,,,,,
1252,st866_Kuusamo_T,2020/07/11,2,"15 KATP",,,,,,,,,,,,1,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/12,1,"11 HA-PA",,,,,,,2,,,,1,2,,,,,,,,
1252,st866_Kuusamo_T,2020/07/12,1,"14 KAPP",,,,,,,,2,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/12,1,"15 KATP",,,,,,,1,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/12,2,"11 HA-PA",,,,,,,,,,,1,,1,1,,,,,3,
1252,st866_Kuusamo_T,2020/07/12,2,"14 KAPP",,,,,,,,,,,,2,,,,,,,,
1252,st866_Kuusamo_T,2020/07/12,2,"15 KATP",,,,,,,,,,,1,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/13,1,"11 HA-PA",,,,1,,,3,,,1,4,2,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/13,1,"14 KAPP",,,,,,,,1,,1,,,,,2,,,,,
1252,st866_Kuusamo_T,2020/07/13,1,"15 KATP",,,,,,,,2,2,,1,,,,,,1,,,
1252,st866_Kuusamo_T,2020/07/13,2,"11 HA-PA",,,,,1,,,,,1,3,1,,,1,,,2,3,
1252,st866_Kuusamo_T,2020/07/13,2,"14 KAPP",,,,,,,,,1,,,,,1,2,,,,,
1252,st866_Kuusamo_T,2020/07/13,2,"15 KATP",,,,,,,,,,,1,,,1,1,1,,,,
1252,st866_Kuusamo_T,2020/07/14,1,"11 HA-PA",,,,,,,3,1,1,,3,2,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/14,1,"14 KAPP",,,,,,,,,,2,,,,2,,,1,1,,
1252,st866_Kuusamo_T,2020/07/14,1,"15 KATP",,,,,,,2,1,,,1,1,,1,,,,,,
1252,st866_Kuusamo_T,2020/07/14,2,"11 HA-PA",,,,,,,,,,2,2,,2,1,,,,2,4,
1252,st866_Kuusamo_T,2020/07/14,2,"14 KAPP",,,,,,,,,2,,,1,1,1,1,,1,1,,
1252,st866_Kuusamo_T,2020/07/14,2,"15 KATP",,,,,,,,,,1,,,1,2,,,,,,
1252,st866_Kuusamo_T,2020/07/15,1,"11 HA-PA",,,,,,,3,,1,,1,2,1,1,,1,1,,,
1252,st866_Kuusamo_T,2020/07/15,1,"14 KAPP",,,,,,,,,2,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/15,1,"15 KATP",,,,,,,1,1,,,1,,,,,,1,,,
1252,st866_Kuusamo_T,2020/07/15,2,"11 HA-PA",,,,,,,,,,1,1,1,,3,,2,1,,2,
1252,st866_Kuusamo_T,2020/07/15,2,"14 KAPP",,,,,,,,1,1,,,,,2,,,,,,
1252,st866_Kuusamo_T,2020/07/15,2,"15 KATP",,,,,,,,,,,1,,,1,1,,1,,,
1252,st866_Kuusamo_T,2020/07/16,1,"11 HA-PA",,,,,,,5,,,1,1,3,,1,,,,,,2
1252,st866_Kuusamo_T,2020/07/16,1,"12 KAIP",,,,,,,,,,,,,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/16,1,"14 KAPP",,,,,,,1,1,1,,,,,2,,,,,,
1252,st866_Kuusamo_T,2020/07/16,1,"15 KATP",,,,,,,2,,,,1,,1,,,,,,,
1252,st866_Kuusamo_T,2020/07/16,2,"11 HA-PA",,,,,,,,,,,2,2,,,1,1,,2,2,
1252,st866_Kuusamo_T,2020/07/16,2,"14 KAPP",,,,,,,,,1,,,,2,1,,,,1,,
1252,st866_Kuusamo_T,2020/07/16,2,"15 KATP",,,,,,,,,,,1,,,2,,,,,,
1252,st866_Kuusamo_T,2020/07/17,1,"11 HA-PA",,,,,,,3,,,,3,1,,,,,1,,,
1252,st866_Kuusamo_T,2020/07/17,1,"14 KAPP",,,,,,,1,,1,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/17,1,"15 KATP",,,,,,,1,,,,1,,1,,,,,,,
1252,st866_Kuusamo_T,2020/07/17,2,"11 HA-PA",1,,,,,,,,,1,2,,,,1,,1,1,2,
1252,st866_Kuusamo_T,2020/07/17,2,"14 KAPP",,,,,,,,,1,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/07/17,2,"15 KATP",,,,,,,,,,,1,,,1,1,,,,,
1252,st866_Kuusamo_T,2020/07/18,1,"11 HA-PA",,1,,,,,3,1,,,2,2,,1,,,1,,,
1252,st866_Kuusamo_T,2020/07/18,1,"15 KATP",,,,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/18,2,"11 HA-PA",,,1,,,,,,,1,2,,,,1,,,3,2,
1252,st866_Kuusamo_T,2020/07/18,2,"14 KAPP",,,,,,,,,,,,2,,,,,,,,
1252,st866_Kuusamo_T,2020/07/18,2,"15 KATP",,,,,,,,,,,,1,,,,,,1,,
1252,st866_Kuusamo_T,2020/07/19,1,"11 HA-PA",,,,,,,3,,,,2,2,,,,2,1,,,
1252,st866_Kuusamo_T,2020/07/19,2,"11 HA-PA",,,,,,,,,,1,2,,,,1,1,1,2,2,
1252,st866_Kuusamo_T,2020/07/19,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/20,1,"11 HA-PA",,,,,,,4,1,1,3,3,2,,,2,1,,,,
1252,st866_Kuusamo_T,2020/07/20,1,"12 KAIP",,,,,,,,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/07/20,1,"14 KAPP",,,,,,,1,1,,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/07/20,1,"15 KATP",,,,,,,1,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/07/20,2,"11 HA-PA",,,,,,,,,1,2,3,2,,3,1,1,,2,2,
1252,st866_Kuusamo_T,2020/07/20,2,"14 KAPP",,,,,,,,,,,,,1,1,,,,,,
1252,st866_Kuusamo_T,2020/07/20,2,"15 KATP",,,,,,,,,,,1,,,1,1,,,,,
1252,st866_Kuusamo_T,2020/07/21,1,"11 HA-PA",,,,,,,2,,,1,1,1,1,,,,1,1,,
1252,st866_Kuusamo_T,2020/07/21,1,"14 KAPP",,,,,,,,1,1,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/07/21,1,"15 KATP",,,,,,,,2,,2,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/07/21,2,"11 HA-PA",,,,,,,,,,,3,,,1,,,,2,2,
1252,st866_Kuusamo_T,2020/07/21,2,"14 KAPP",,,,,,,,,1,,,1,,1,,1,,,,
1252,st866_Kuusamo_T,2020/07/21,2,"15 KATP",,,,,,,,,,,1,,,1,1,,,,,
1252,st866_Kuusamo_T,2020/07/22,1,"11 HA-PA",,,,,,,2,,1,1,2,,1,,,1,,,,
1252,st866_Kuusamo_T,2020/07/22,1,"12 KAIP",,,,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/22,1,"14 KAPP",,,,,,,,,,1,,,,1,1,1,,1,,
1252,st866_Kuusamo_T,2020/07/22,1,"15 KATP",,,,,,,,,1,1,,1,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/22,1,"16 HA + PK",,,,,,,2,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/22,2,"11 HA-PA",,,,,,,,,1,,1,1,,1,,1,1,,2,
1252,st866_Kuusamo_T,2020/07/22,2,"12 KAIP",,,,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/22,2,"14 KAPP",,,,,,,,,1,,1,,,,1,,,1,,
1252,st866_Kuusamo_T,2020/07/22,2,"15 KATP",,,,,,,,,1,,1,,,2,1,1,,,,
1252,st866_Kuusamo_T,2020/07/23,1,"11 HA-PA",,,,,,,3,,1,1,2,1,1,,,,1,,,
1252,st866_Kuusamo_T,2020/07/23,1,"14 KAPP",,,,,,,,,2,,,,,1,1,,,,,
1252,st866_Kuusamo_T,2020/07/23,1,"15 KATP",,,,,,,1,,,,1,,,,,,,1,,
1252,st866_Kuusamo_T,2020/07/23,1,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/23,2,"11 HA-PA",,,,,,,,,,,3,1,,1,,1,1,,3,
1252,st866_Kuusamo_T,2020/07/23,2,"14 KAPP",,,,,,,,,2,,,1,,2,,,,,,
1252,st866_Kuusamo_T,2020/07/23,2,"15 KATP",,,,,,,,,,,1,1,,1,1,,,,,
1252,st866_Kuusamo_T,2020/07/24,1,"11 HA-PA",,,,,,,2,2,,1,1,1,,,1,,3,,,
1252,st866_Kuusamo_T,2020/07/24,1,"14 KAPP",,,,,,,,,1,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/24,1,"15 KATP",,,,,,,2,,,,,1,1,,,,,,,
1252,st866_Kuusamo_T,2020/07/24,2,"11 HA-PA",,,,,,,,1,,1,1,,,,2,,1,2,1,
1252,st866_Kuusamo_T,2020/07/24,2,"14 KAPP",,,,,,,,1,,,,1,,1,,,,,,
1252,st866_Kuusamo_T,2020/07/24,2,"15 KATP",,,,,,,,,,,1,,1,1,,1,,,,
1252,st866_Kuusamo_T,2020/07/25,1,"11 HA-PA",,,,,,,2,2,,,4,,1,1,,,2,,,
1252,st866_Kuusamo_T,2020/07/25,1,"15 KATP",,,,,,,,,1,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/25,2,"11 HA-PA",,,,,,,,1,,2,2,1,,1,1,,1,1,2,
1252,st866_Kuusamo_T,2020/07/25,2,"14 KAPP",,,,,,,,,,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/07/25,2,"15 KATP",,,,,,,,,1,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/07/26,1,"11 HA-PA",,,,,,,2,,1,,4,1,,1,,1,,,,
1252,st866_Kuusamo_T,2020/07/26,1,"12 KAIP",,,,,,,,,1,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/26,1,"14 KAPP",,,,,,,,,,,,,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/26,1,"15 KATP",,,,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/26,1,"16 HA + PK",,,,,,,,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/07/26,2,"11 HA-PA",,,,,,,,,,1,3,,1,,1,1,,,2,
1252,st866_Kuusamo_T,2020/07/26,2,"12 KAIP",,,,,,,,,1,2,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/26,2,"14 KAPP",,,,,,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/26,2,"15 KATP",,,,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/27,1,"11 HA-PA",,,,,,,5,,,1,3,2,,1,1,2,,1,,
1252,st866_Kuusamo_T,2020/07/27,1,"12 KAIP",,,,,,,,,,,,,2,,,,,,,
1252,st866_Kuusamo_T,2020/07/27,1,"14 KAPP",,,,,,,,2,1,,,,,2,1,1,,,,
1252,st866_Kuusamo_T,2020/07/27,1,"15 KATP",,,,,,,2,,,,,1,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/27,2,"11 HA-PA",,,,,,,1,,1,1,4,,1,,4,1,,1,3,
1252,st866_Kuusamo_T,2020/07/27,2,"12 KAIP",,,,,,,,,,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/07/27,2,"14 KAPP",,,,,,,,,1,,,,1,2,,,,,,
1252,st866_Kuusamo_T,2020/07/27,2,"15 KATP",,,,,,,,,,,1,,,2,1,,,1,,
1252,st866_Kuusamo_T,2020/07/27,2,"16 HA + PK",,,,,,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/28,1,"11 HA-PA",,,,,,,4,,,2,4,1,,,,2,2,,,
1252,st866_Kuusamo_T,2020/07/28,1,"14 KAPP",,,,,,,,,2,,,,1,1,1,,,1,,
1252,st866_Kuusamo_T,2020/07/28,1,"15 KATP",,,,,,,,1,,,,1,,,,,1,,,
1252,st866_Kuusamo_T,2020/07/28,2,"11 HA-PA",,,,,,,,2,,2,4,,,,1,2,,2,2,
1252,st866_Kuusamo_T,2020/07/28,2,"14 KAPP",,,,,,,,1,1,1,,,1,1,,1,,1,,
1252,st866_Kuusamo_T,2020/07/28,2,"15 KATP",,,,,,,,,,,,1,,,,,2,,,
1252,st866_Kuusamo_T,2020/07/29,1,"11 HA-PA",,,,,,,4,4,,1,2,2,1,1,1,,1,,,
1252,st866_Kuusamo_T,2020/07/29,1,"14 KAPP",,,,,,,,,1,1,,1,,,1,,1,,,
1252,st866_Kuusamo_T,2020/07/29,1,"15 KATP",,,,,,,1,1,,1,,1,1,,,,,2,,
1252,st866_Kuusamo_T,2020/07/29,2,"11 HA-PA",,,,,,,,2,1,1,3,1,1,,1,1,1,2,2,
1252,st866_Kuusamo_T,2020/07/29,2,"14 KAPP",,,,,,,,1,,1,,,1,1,,,,,,
1252,st866_Kuusamo_T,2020/07/29,2,"15 KATP",,,,,,,,,1,,,1,,,1,,2,1,,
1252,st866_Kuusamo_T,2020/07/30,1,"11 HA-PA",,,,,,,5,2,1,,2,1,,1,,,,,,
1252,st866_Kuusamo_T,2020/07/30,1,"14 KAPP",,,,,,,,,1,,1,,,,,1,,,,
1252,st866_Kuusamo_T,2020/07/30,1,"15 KATP",,,,,,,,,1,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/07/30,2,"11 HA-PA",,,,,,,1,,1,,2,2,,1,1,,,1,2,
1252,st866_Kuusamo_T,2020/07/30,2,"14 KAPP",,,,,,,,1,2,,,,1,2,,,,,,
1252,st866_Kuusamo_T,2020/07/30,2,"15 KATP",,,,,,,,,1,,,,1,,,,1,,,
1252,st866_Kuusamo_T,2020/07/31,1,"11 HA-PA",,,,,,,4,2,2,,1,2,1,,,,,,,
1252,st866_Kuusamo_T,2020/07/31,1,"14 KAPP",,,,,,,,,,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/07/31,1,"15 KATP",,,,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/31,1,"16 HA + PK",,,,,,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/07/31,2,"11 HA-PA",,,,,,,,1,2,,1,1,1,1,,,,2,1,
1252,st866_Kuusamo_T,2020/07/31,2,"14 KAPP",,,,,,,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/07/31,2,"15 KATP",,,,,,,,,,,,,1,,,,,1,,
1252,st866_Kuusamo_T,2020/07/31,2,"16 HA + PK",,,,,,,,,,,,,,,,,1,,,
