"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20
1430,kt82_Salla_Kelloselkä,2020/07/24,1,"14 KAPP",,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/24,2,"11 HA-PA",,1,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/24,2,"13 Linja-autot",,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/07/24,2,"14 KAPP",,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/25,1,"11 HA-PA",,2,,,,,,,,,3,
1430,kt82_Salla_Kelloselkä,2020/07/25,1,"13 Linja-autot",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/25,1,"14 KAPP",,,2,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/25,2,"11 HA-PA",,1,,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/07/25,2,"13 Linja-autot",,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/26,1,"11 HA-PA",,1,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/26,2,"11 HA-PA",,1,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/07/26,2,"14 KAPP",,,,1,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/27,1,"11 HA-PA",,1,,,1,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/28,1,"11 HA-PA",,,,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/07/28,1,"13 Linja-autot",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/28,1,"14 KAPP",,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/07/28,2,"11 HA-PA",,1,1,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/07/28,2,"13 Linja-autot",,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/28,2,"14 KAPP",,,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/29,2,"11 HA-PA",,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/30,1,"11 HA-PA",,1,,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/07/30,1,"13 Linja-autot",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/30,1,"14 KAPP",,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/30,2,"13 Linja-autot",,,,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/07/30,2,"14 KAPP",,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/07/31,1,"11 HA-PA",,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/31,1,"13 Linja-autot",,,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/07/31,2,"11 HA-PA",,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/07/31,2,"14 KAPP",,,,,,,3,,,,,
