"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1253,st816_Hailuoto,2020/04/11,1,"13 Linja-autot",,,,,,,,,,,,,,2,,,,,,,,
1253,st816_Hailuoto,2020/04/11,1,"14 KAPP",,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/11,1,"16 HA + PK",,,,,4,,2,,1,2,,,1,,4,2,,,,,,
1253,st816_Hailuoto,2020/04/11,1,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/11,2,"11 HA-PA",,,,1,2,4,8,1,21,14,37,39,46,44,40,44,34,16,18,2,8,1
1253,st816_Hailuoto,2020/04/11,2,"12 KAIP",,,,,,,,,,,1,1,,,,,,,,,,
1253,st816_Hailuoto,2020/04/11,2,"13 Linja-autot",,,,,,,,,1,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/11,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/11,2,"15 KATP",,,,,,,,,,,,,1,,,,,1,,,,
1253,st816_Hailuoto,2020/04/11,2,"16 HA + PK",,,,1,1,,,,1,2,3,1,1,1,1,,4,1,2,,,
1253,st816_Hailuoto,2020/04/12,1,"11 HA-PA",,,,,13,6,6,1,7,8,11,,9,8,6,5,6,3,2,3,1,2
1253,st816_Hailuoto,2020/04/12,1,"12 KAIP",,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/12,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/12,1,"16 HA + PK",,,,,1,,,,,,,,,1,,,,,,,,
1253,st816_Hailuoto,2020/04/12,2,"11 HA-PA",,,,,,1,3,3,19,41,35,33,34,10,41,10,14,8,4,,4,
1253,st816_Hailuoto,2020/04/12,2,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/12,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/12,2,"16 HA + PK",,,,,,,,,3,1,3,1,2,2,1,1,3,1,,,,
1253,st816_Hailuoto,2020/04/12,2,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/13,1,"11 HA-PA",2,,,,20,15,3,,3,14,14,18,6,3,12,9,6,6,2,2,1,
1253,st816_Hailuoto,2020/04/13,1,"12 KAIP",,,,,,,,,2,,,,1,,,1,,,,,,
1253,st816_Hailuoto,2020/04/13,1,"13 Linja-autot",,,,,1,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/13,1,"14 KAPP",,,,,,,,,,,,,,,1,1,,,,,,
1253,st816_Hailuoto,2020/04/13,1,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/13,2,"11 HA-PA",1,,,2,2,5,4,2,16,18,22,32,38,10,30,22,30,25,2,,4,2
1253,st816_Hailuoto,2020/04/13,2,"12 KAIP",,,,,,1,,,,3,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/13,2,"14 KAPP",,,,,,1,,,,,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/13,2,"15 KATP",,,,,,,,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/13,2,"16 HA + PK",,,,,,,,,3,3,2,1,2,,2,,1,,2,,,
1253,st816_Hailuoto,2020/04/13,2,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,,,
1253,st816_Hailuoto,2020/04/14,1,"11 HA-PA",2,,,3,1,14,20,,14,9,16,12,13,,20,20,12,9,2,1,2,2
1253,st816_Hailuoto,2020/04/14,1,"12 KAIP",,,,1,,1,3,,1,,,,,,,,,1,,,,
1253,st816_Hailuoto,2020/04/14,1,"13 Linja-autot",,,,1,,,,,1,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/14,1,"15 KATP",,,,,,,1,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/14,1,"16 HA + PK",,,,,,,,,,,,1,2,,1,1,,,,,,
1253,st816_Hailuoto,2020/04/14,1,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/14,2,"11 HA-PA",,,10,23,20,9,9,1,16,8,17,14,22,9,21,11,10,10,7,1,2,
1253,st816_Hailuoto,2020/04/14,2,"12 KAIP",,,,1,,,1,,1,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/14,2,"13 Linja-autot",,,,,2,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/14,2,"14 KAPP",,,,,,,,,,,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/14,2,"15 KATP",,,,,,,,,,1,1,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/14,2,"16 HA + PK",,,,,,,,,3,1,,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/14,2,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/15,1,"11 HA-PA",,,,,33,32,10,,16,14,8,2,14,16,33,9,11,10,3,3,2,2
1253,st816_Hailuoto,2020/04/15,1,"12 KAIP",,,1,,1,,1,,2,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/15,1,"13 Linja-autot",,,,,1,,,,1,1,,,1,1,,1,,,,,,
1253,st816_Hailuoto,2020/04/15,1,"15 KATP",,,,,1,,,,,,,,,,1,,,,,,,
1253,st816_Hailuoto,2020/04/15,1,"16 HA + PK",,,,,2,3,,,,,1,,4,,1,,,,,,,
1253,st816_Hailuoto,2020/04/15,1,"17 HA + AV",,,,,1,,,,,,,,1,,,,1,,,,,
1253,st816_Hailuoto,2020/04/15,2,"11 HA-PA",,,4,13,13,14,18,,17,31,24,41,24,5,20,8,7,6,4,1,3,
1253,st816_Hailuoto,2020/04/15,2,"12 KAIP",,,,,,2,,,1,3,3,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/15,2,"13 Linja-autot",,,,,1,,,,,,1,,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/15,2,"15 KATP",,,,,,,,,1,1,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/15,2,"16 HA + PK",,,,1,,1,1,,,,2,3,,,2,,,,,,,
1253,st816_Hailuoto,2020/04/15,2,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,
1253,st816_Hailuoto,2020/04/16,1,"11 HA-PA",1,,,5,21,22,17,13,19,11,17,18,12,2,29,17,14,9,11,2,1,3
1253,st816_Hailuoto,2020/04/16,1,"12 KAIP",,,,,2,1,1,1,2,1,1,,,,2,1,,,1,,,
1253,st816_Hailuoto,2020/04/16,1,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,
1253,st816_Hailuoto,2020/04/16,1,"14 KAPP",,,,,1,,,,1,,,1,,,,,,,1,,,
1253,st816_Hailuoto,2020/04/16,1,"15 KATP",,,,,1,,,,,,,,,,,,,1,,,,
1253,st816_Hailuoto,2020/04/16,1,"16 HA + PK",,,,,,1,,1,1,1,,1,,,3,2,1,,,,,
1253,st816_Hailuoto,2020/04/16,1,"17 HA + AV",,,,,,,,,,,,,,,,,2,,,,,
1253,st816_Hailuoto,2020/04/16,2,"11 HA-PA",,,6,16,10,8,7,1,14,21,30,35,33,18,27,17,19,10,6,2,3,3
1253,st816_Hailuoto,2020/04/16,2,"12 KAIP",,,,,2,,1,,2,1,1,1,,,,,1,,,,,
1253,st816_Hailuoto,2020/04/16,2,"13 Linja-autot",,,,,,,,,,,,,,,1,,1,,,,,
1253,st816_Hailuoto,2020/04/16,2,"14 KAPP",,,,,2,,,,,,1,,,,,,,,,,,
