"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22
1430,kt82_Salla_Kelloselkä,2020/02/20,1,"11 HA-PA",1,5,5,5,8,6,5,1,3,6,7,2,3,2,1,1
1430,kt82_Salla_Kelloselkä,2020/02/20,1,"14 KAPP",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/20,2,"11 HA-PA",,2,7,8,6,12,5,7,1,8,5,3,4,3,1,
1430,kt82_Salla_Kelloselkä,2020/02/20,2,"12 KAIP",,,,,2,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/20,2,"14 KAPP",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/21,1,"11 HA-PA",,4,8,6,4,6,8,4,9,9,6,5,9,12,1,
1430,kt82_Salla_Kelloselkä,2020/02/21,1,"12 KAIP",,,,,,,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/02/21,2,"11 HA-PA",,6,8,18,14,13,13,8,11,15,7,5,10,9,3,
1430,kt82_Salla_Kelloselkä,2020/02/21,2,"15 KATP",,,,,,,,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/02/21,2,"16 HA + PK",,,,,,,2,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/22,1,"11 HA-PA",1,9,3,4,10,9,8,3,3,8,9,7,7,5,3,
1430,kt82_Salla_Kelloselkä,2020/02/22,1,"16 HA + PK",,1,,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/02/22,1,"17 HA + AV",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/22,2,"11 HA-PA",,6,12,14,27,35,31,18,8,6,13,6,4,1,1,
1430,kt82_Salla_Kelloselkä,2020/02/22,2,"12 KAIP",,,1,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/22,2,"14 KAPP",,,,,,1,2,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/22,2,"15 KATP",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/22,2,"16 HA + PK",,,1,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/22,2,"17 HA + AV",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/23,1,"11 HA-PA",1,4,1,1,10,14,4,15,8,18,9,8,11,7,,
1430,kt82_Salla_Kelloselkä,2020/02/23,1,"12 KAIP",,,,,1,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/23,1,"15 KATP",,,,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/23,1,"17 HA + AV",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/23,2,"11 HA-PA",1,5,8,4,9,9,9,3,7,6,13,4,6,1,1,
1430,kt82_Salla_Kelloselkä,2020/02/24,1,"11 HA-PA",2,1,7,4,11,8,17,19,24,23,33,22,22,14,3,
1430,kt82_Salla_Kelloselkä,2020/02/24,1,"12 KAIP",,,,,,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/02/24,1,"14 KAPP",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/24,1,"16 HA + PK",,,,,,,1,,,,1,1,,,1,
1430,kt82_Salla_Kelloselkä,2020/02/24,2,"11 HA-PA",,1,12,8,10,10,5,7,4,2,3,4,7,5,2,
1430,kt82_Salla_Kelloselkä,2020/02/24,2,"15 KATP",,,,,1,,,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/02/25,1,"11 HA-PA",,5,9,10,5,5,10,3,7,11,7,8,6,4,2,1
1430,kt82_Salla_Kelloselkä,2020/02/25,2,"11 HA-PA",,3,8,10,9,9,4,8,8,8,10,3,4,2,2,
1430,kt82_Salla_Kelloselkä,2020/02/26,1,"11 HA-PA",,5,3,9,9,3,6,2,5,8,8,7,2,2,1,
1430,kt82_Salla_Kelloselkä,2020/02/26,1,"12 KAIP",,,,,,,,1,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/26,1,"14 KAPP",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/26,2,"11 HA-PA",,1,3,9,9,8,6,3,1,3,9,6,3,4,2,1
1430,kt82_Salla_Kelloselkä,2020/02/26,2,"14 KAPP",,,,1,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/27,1,"11 HA-PA",,,5,7,7,6,9,7,6,11,1,6,3,2,,
1430,kt82_Salla_Kelloselkä,2020/02/27,1,"13 Linja-autot",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/27,1,"14 KAPP",,,,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/02/27,2,"11 HA-PA",,1,3,10,8,8,6,6,10,7,5,7,1,4,2,
1430,kt82_Salla_Kelloselkä,2020/02/27,2,"14 KAPP",,,,,,,,,1,,,,,1,1,
1430,kt82_Salla_Kelloselkä,2020/02/28,1,"11 HA-PA",1,,6,7,11,9,9,7,14,9,4,12,6,4,2,
1430,kt82_Salla_Kelloselkä,2020/02/28,1,"14 KAPP",,,,,,,,,,,1,,1,,,
1430,kt82_Salla_Kelloselkä,2020/02/28,1,"16 HA + PK",,,,,,,,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/28,2,"11 HA-PA",,2,4,15,12,10,8,5,10,6,7,9,7,3,,
1430,kt82_Salla_Kelloselkä,2020/02/28,2,"12 KAIP",,,,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/29,1,"11 HA-PA",,6,1,6,8,5,11,2,7,9,6,7,14,3,4,
1430,kt82_Salla_Kelloselkä,2020/02/29,1,"13 Linja-autot",,,,,1,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/29,1,"14 KAPP",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/02/29,2,"11 HA-PA",,5,11,14,11,14,11,6,7,6,3,5,4,2,,1
1430,kt82_Salla_Kelloselkä,2020/02/29,2,"13 Linja-autot",,,1,,,,,,1,,,,,,,
