"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19
1430,kt82_Salla_Kelloselkä,2020/04/11,2,"15 KATP",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/12,1,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/12,1,"17 HA + AV",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/12,2,"11 HA-PA",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/13,1,"11 HA-PA",1,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/13,2,"16 HA + PK",,2,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/14,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/14,1,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/14,2,"13 Linja-autot",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/14,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/15,1,"11 HA-PA",2,2,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/15,1,"12 KAIP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/15,1,"13 Linja-autot",,1,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/04/15,1,"14 KAPP",,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/04/15,2,"12 KAIP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/15,2,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/15,2,"14 KAPP",,,1,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/15,2,"16 HA + PK",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/16,1,"11 HA-PA",1,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/16,1,"12 KAIP",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/16,1,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/16,1,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/16,2,"11 HA-PA",1,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/04/16,2,"13 Linja-autot",,,1,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/04/16,2,"14 KAPP",,,1,,,3,,,,
1430,kt82_Salla_Kelloselkä,2020/04/17,1,"11 HA-PA",1,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/17,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/17,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/17,2,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/17,2,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/18,1,"11 HA-PA",1,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/18,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/18,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/19,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/19,1,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/19,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/20,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/20,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/20,2,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/21,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/21,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/21,2,"12 KAIP",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/21,2,"14 KAPP",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/22,1,"11 HA-PA",1,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/22,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/22,1,"14 KAPP",,,1,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/22,2,"12 KAIP",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/22,2,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/22,2,"15 KATP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/23,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/23,1,"13 Linja-autot",,1,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/04/23,2,"14 KAPP",,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/24,1,"12 KAIP",,,,,,,,,,1
1430,kt82_Salla_Kelloselkä,2020/04/24,1,"14 KAPP",,,,,1,,1,,,
1430,kt82_Salla_Kelloselkä,2020/04/24,2,"13 Linja-autot",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/24,2,"14 KAPP",,2,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/25,1,"11 HA-PA",2,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/25,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/25,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/25,2,"13 Linja-autot",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/04/25,2,"14 KAPP",,,,2,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/26,1,"11 HA-PA",2,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/26,1,"14 KAPP",,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/26,2,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/27,1,"13 Linja-autot",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/27,2,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/28,1,"13 Linja-autot",,,,1,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/28,1,"14 KAPP",,1,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/28,2,"13 Linja-autot",,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/04/28,2,"14 KAPP",,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/04/29,1,"11 HA-PA",2,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/29,1,"13 Linja-autot",,1,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/04/29,2,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/29,2,"13 Linja-autot",,,,,,1,,,,
1430,kt82_Salla_Kelloselkä,2020/04/30,1,"11 HA-PA",1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/30,1,"13 Linja-autot",,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/30,1,"14 KAPP",,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/04/30,2,"14 KAPP",,1,,,,,,1,1,
