"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22
1430,kt82_Salla_Kelloselkä,2020/03/14,1,"11 HA-PA",,4,5,3,6,6,12,5,3,7,3,6,1,,1,1
1430,kt82_Salla_Kelloselkä,2020/03/14,1,"12 KAIP",,,,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/03/14,1,"13 Linja-autot",,,,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/14,1,"16 HA + PK",,,,,,,1,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/14,2,"11 HA-PA",,3,6,7,3,5,9,7,3,3,2,3,3,,1,1
1430,kt82_Salla_Kelloselkä,2020/03/14,2,"13 Linja-autot",,,,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/15,1,"11 HA-PA",1,2,5,2,5,5,8,4,9,4,7,2,1,2,,1
1430,kt82_Salla_Kelloselkä,2020/03/15,1,"14 KAPP",,,,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/15,1,"17 HA + AV",,,,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/15,2,"11 HA-PA",,2,3,2,6,4,6,6,1,4,2,3,,,1,
1430,kt82_Salla_Kelloselkä,2020/03/15,2,"15 KATP",,,,,,,,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/03/16,1,"11 HA-PA",1,2,1,3,6,3,5,7,2,2,4,6,2,,2,
1430,kt82_Salla_Kelloselkä,2020/03/16,1,"12 KAIP",,1,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/16,1,"13 Linja-autot",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/16,2,"11 HA-PA",,1,,1,6,2,6,4,2,,2,3,3,1,1,
1430,kt82_Salla_Kelloselkä,2020/03/16,2,"13 Linja-autot",,,,,1,,,,,1,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/03/16,2,"16 HA + PK",,2,,,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/17,1,"11 HA-PA",1,8,10,6,9,14,5,5,4,4,4,3,1,,1,
1430,kt82_Salla_Kelloselkä,2020/03/17,1,"13 Linja-autot",,,,1,,,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/17,1,"14 KAPP",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/17,2,"11 HA-PA",,,10,11,4,9,13,4,6,3,7,4,2,,1,
1430,kt82_Salla_Kelloselkä,2020/03/17,2,"13 Linja-autot",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/17,2,"14 KAPP",,,1,,,,,,,,,,1,,,
1430,kt82_Salla_Kelloselkä,2020/03/18,1,"11 HA-PA",1,,,,,1,,,,1,,,,,2,
1430,kt82_Salla_Kelloselkä,2020/03/18,2,"11 HA-PA",,,,1,,1,,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/03/19,1,"11 HA-PA",1,,,,,,1,,,,,1,,,,1
1430,kt82_Salla_Kelloselkä,2020/03/19,1,"14 KAPP",,,1,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/19,1,"16 HA + PK",,,,,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/19,2,"11 HA-PA",,,,,,,,,1,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/19,2,"14 KAPP",,,,,,1,,,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/20,1,"11 HA-PA",1,,,1,,,,1,,,,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/20,2,"11 HA-PA",,,,,,,,,,,,,,,1,
1430,kt82_Salla_Kelloselkä,2020/03/20,2,"14 KAPP",,,,,,,,,,,,,,1,,
1430,kt82_Salla_Kelloselkä,2020/03/21,1,"11 HA-PA",1,,,,,,,,,,,2,,,,
1430,kt82_Salla_Kelloselkä,2020/03/21,1,"13 Linja-autot",,,,,,,,,,,1,,,,,
1430,kt82_Salla_Kelloselkä,2020/03/21,1,"14 KAPP",,,,,,1,,,,,,,,,,
