"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_03-04,KLO_04-05,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_23-00
1429,kt91_Rajajooseppi,2020/03/25,2,"14 KAPP",,,,1,,,,2,,,1,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/25,2,"17 HA + AV",,,,,,,,,,,2,,,,2,,,,,
1429,kt91_Rajajooseppi,2020/03/26,1,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,1,"14 KAPP",,,,,,,,1,,1,,1,1,2,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,2,"11 HA-PA",,,,,,,,,,1,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,2,"14 KAPP",,,,,,,,2,,4,,1,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,2,"15 KATP",,,,,,,,,,1,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/26,2,"17 HA + AV",,,,,,,,,,,1,1,2,,,,,,,
1429,kt91_Rajajooseppi,2020/03/27,1,"14 KAPP",,,,,,,,4,,,2,2,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/27,2,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/27,2,"14 KAPP",,,,,,,,,2,2,,,2,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/27,2,"15 KATP",,,,,,,,,,2,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/28,1,"11 HA-PA",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/28,1,"14 KAPP",,,,,,,,,,,,,,1,,,,,,
1429,kt91_Rajajooseppi,2020/03/29,1,"11 HA-PA",,,,,,,,,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/30,1,"14 KAPP",,,,,,,,,3,,,,3,,,,,,,
1429,kt91_Rajajooseppi,2020/03/30,1,"15 KATP",,,,,,,,,1,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/03/30,2,"12 KAIP",,,,,,,,,,,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/30,2,"14 KAPP",,,,,,,,,,,3,,1,,4,,,,,
1429,kt91_Rajajooseppi,2020/03/30,2,"17 HA + AV",,,,,,,,,,,1,,3,,,,,,,
1429,kt91_Rajajooseppi,2020/03/31,1,"14 KAPP",,,,,,,,,,,,1,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/31,2,"11 HA-PA",,,,,,,,,,1,,,1,,,,,,,
1429,kt91_Rajajooseppi,2020/03/31,2,"14 KAPP",,,,,,,,,,2,2,,,2,1,,,,,
1429,kt91_Rajajooseppi,2020/03/31,2,"15 KATP",,,,,,,,,,,,,,,1,,,,,
