"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_02-03,KLO_03-04,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1252,st866_Kuusamo_T,2020/03/06,1,"12 KAIP",,,1,,,,1,,,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/06,1,"14 KAPP",,,,,,,2,2,,,1,2,,7,,,1,,,,,
1252,st866_Kuusamo_T,2020/03/06,1,"15 KATP",,,,,,,1,1,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/06,1,"16 HA + PK",,,,,,,,,,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/06,1,"17 HA + AV",,,,,,,,,,,1,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/06,2,"11 HA-PA",,,,,,,2,6,12,8,8,2,4,4,7,8,6,2,,,,
1252,st866_Kuusamo_T,2020/03/06,2,"12 KAIP",,,3,,,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/06,2,"14 KAPP",,,,,,,1,1,1,2,1,,1,,2,1,,,,,,
1252,st866_Kuusamo_T,2020/03/06,2,"15 KATP",,,,,,,,,2,,,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/07,1,"11 HA-PA",,,,,,3,11,11,2,4,4,11,7,6,5,6,3,,,,,
1252,st866_Kuusamo_T,2020/03/07,1,"14 KAPP",,,,,,,2,,1,,,,1,2,,,,,,,,
1252,st866_Kuusamo_T,2020/03/07,1,"15 KATP",,,,,,,,,,,1,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/07,1,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/07,2,"11 HA-PA",,,,,,,9,10,10,5,2,5,6,5,3,3,2,2,,,,
1252,st866_Kuusamo_T,2020/03/07,2,"13 Linja-autot",,,,,,,,1,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/07,2,"14 KAPP",,,,,,,,2,3,1,,,,,,2,,,,,,
1252,st866_Kuusamo_T,2020/03/07,2,"15 KATP",,,,,,,,,1,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/07,2,"16 HA + PK",,,,,,,,,,,,,,2,,,,,,,,
1252,st866_Kuusamo_T,2020/03/08,1,"11 HA-PA",,,,,,3,10,6,6,3,7,7,8,7,10,7,,,,,,
1252,st866_Kuusamo_T,2020/03/08,1,"14 KAPP",,,,,,,5,,,1,,1,2,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/08,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/08,2,"11 HA-PA",,,,,,,2,9,10,4,6,9,8,5,3,12,3,4,,,,
1252,st866_Kuusamo_T,2020/03/08,2,"14 KAPP",,,,,,,,1,2,,,2,1,3,2,,1,,,,,
1252,st866_Kuusamo_T,2020/03/09,1,"11 HA-PA",,,,,,9,5,11,4,6,10,9,7,5,9,8,3,,,3,,
1252,st866_Kuusamo_T,2020/03/09,1,"12 KAIP",,,,,,,1,1,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/09,1,"14 KAPP",,,,,,,4,,,,2,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/09,1,"15 KATP",,,,,,1,1,2,,1,2,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/09,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/09,2,"11 HA-PA",,,,,,1,3,6,6,8,6,3,5,5,3,11,4,4,,,1,
1252,st866_Kuusamo_T,2020/03/09,2,"12 KAIP",,,,,,,,,,,,,,,,,,,,1,,
1252,st866_Kuusamo_T,2020/03/09,2,"14 KAPP",,,,,,,,1,2,,1,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/09,2,"15 KATP",,,,,,,,,1,3,,,3,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/10,1,"11 HA-PA",,,,,,10,3,11,6,3,10,4,5,5,7,4,2,,,,,
1252,st866_Kuusamo_T,2020/03/10,1,"12 KAIP",,,,,,,,,,,,,,,2,,,,,,,
1252,st866_Kuusamo_T,2020/03/10,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/10,1,"14 KAPP",,,,,,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/10,1,"15 KATP",,,,,,1,,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/10,2,"11 HA-PA",,,,,,,1,6,7,7,4,7,6,3,10,4,4,3,,,,
1252,st866_Kuusamo_T,2020/03/10,2,"12 KAIP",,,,,,,,,,,,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/10,2,"15 KATP",,,,,,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/11,1,"11 HA-PA",,,,,,3,4,5,5,5,4,4,4,11,5,7,1,,1,,,1
1252,st866_Kuusamo_T,2020/03/11,1,"12 KAIP",,,,,,,1,,1,,,,,,,,,,1,3,,
1252,st866_Kuusamo_T,2020/03/11,1,"14 KAPP",,,,,,,1,,2,,1,,,2,,,,,,,,
1252,st866_Kuusamo_T,2020/03/11,1,"15 KATP",,,,,,,1,,,2,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/11,1,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/11,2,"11 HA-PA",,,,,,,5,5,2,7,3,6,2,11,6,4,4,2,,,,
1252,st866_Kuusamo_T,2020/03/11,2,"12 KAIP",,,,,,,,1,,,,,,,,,,,,1,,
1252,st866_Kuusamo_T,2020/03/11,2,"14 KAPP",,,,,,,,,1,,,,1,,3,,1,,,3,,
1252,st866_Kuusamo_T,2020/03/11,2,"15 KATP",,,,,,,1,,,1,,,2,1,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/11,2,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/11,2,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/12,1,"11 HA-PA",,,,,,2,5,4,7,8,9,8,4,2,9,3,1,,,,,
1252,st866_Kuusamo_T,2020/03/12,1,"12 KAIP",,,,,,,,1,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/12,1,"14 KAPP",,,,,,,3,1,1,1,,1,3,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/12,1,"15 KATP",,,,,,,2,,,1,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/12,1,"16 HA + PK",,,,,,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/12,1,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/12,2,"11 HA-PA",,,,,,,,5,4,8,10,8,3,,6,5,4,2,,,,
1252,st866_Kuusamo_T,2020/03/12,2,"12 KAIP",,,,,,,,,,1,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/12,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/12,2,"14 KAPP",,,,,,,,,2,,,1,,,1,2,1,,,,,
1252,st866_Kuusamo_T,2020/03/12,2,"15 KATP",,,,,,,,1,,1,1,1,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/13,1,"11 HA-PA",,,,,,3,5,3,5,4,12,6,4,5,6,3,,1,,,,
1252,st866_Kuusamo_T,2020/03/13,1,"14 KAPP",,,,,,,,,,1,,2,,2,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/13,1,"15 KATP",,,,,,,2,,,,,2,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/13,2,"11 HA-PA",,,,,,,1,4,5,5,7,12,3,4,3,1,6,3,,,,
1252,st866_Kuusamo_T,2020/03/13,2,"14 KAPP",,,,,,,1,1,3,,,,,1,1,1,,,,,,
1252,st866_Kuusamo_T,2020/03/13,2,"15 KATP",,,,,,,,,1,1,,2,1,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/13,2,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/14,1,"11 HA-PA",1,,,,1,5,3,8,8,10,9,3,9,7,4,5,1,,,,,
1252,st866_Kuusamo_T,2020/03/14,1,"12 KAIP",,,,,,,,1,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/14,1,"14 KAPP",,,,,,1,1,2,,2,1,1,1,1,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/14,1,"15 KATP",,,,,,,1,1,,1,,1,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/14,1,"16 HA + PK",,,,,,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/14,1,"17 HA + AV",2,,,,,,,,,1,,,1,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/14,2,"11 HA-PA",,,,,,,3,5,7,11,5,7,5,8,6,7,3,2,,,,
1252,st866_Kuusamo_T,2020/03/14,2,"12 KAIP",1,,,,,,,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/14,2,"14 KAPP",,,,,,,1,,1,2,,1,1,1,2,1,,,,,,
1252,st866_Kuusamo_T,2020/03/14,2,"15 KATP",,,,,,,1,,1,1,1,1,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/14,2,"17 HA + AV",1,,,,,,,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/15,1,"11 HA-PA",,,,,,4,6,10,19,14,9,8,9,2,4,3,1,,,,,
1252,st866_Kuusamo_T,2020/03/15,1,"14 KAPP",,,,,,1,,1,,1,,,1,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/15,1,"15 KATP",,,,,,,1,,,,1,,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/15,1,"17 HA + AV",,,,,,1,,,,,,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/15,2,"11 HA-PA",,,,,,,5,7,11,13,10,8,10,5,6,3,2,2,,,,
1252,st866_Kuusamo_T,2020/03/15,2,"14 KAPP",,,,,,,1,,1,1,1,1,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/15,2,"15 KATP",,,,,,,,,,1,,,,1,,,1,,,,,
1252,st866_Kuusamo_T,2020/03/16,1,"11 HA-PA",,1,,1,,5,3,10,1,3,8,6,3,3,2,3,2,,,,,
1252,st866_Kuusamo_T,2020/03/16,1,"12 KAIP",,,,,,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/16,1,"14 KAPP",,,,,,,2,,,1,1,1,2,2,1,1,,,,,,
1252,st866_Kuusamo_T,2020/03/16,1,"15 KATP",,,,,,,2,,,1,,2,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/16,1,"16 HA + PK",,,,,,,2,,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/16,1,"17 HA + AV",,2,,,,,,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/16,2,"11 HA-PA",,,,,,,3,,,6,5,2,5,5,1,3,3,3,,,,
1252,st866_Kuusamo_T,2020/03/16,2,"13 Linja-autot",,,,,,,,,,1,,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/16,2,"14 KAPP",,1,,,,,,1,,2,,,2,1,,3,,,,,,
1252,st866_Kuusamo_T,2020/03/16,2,"15 KATP",,,,,,,,,1,2,1,1,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/16,2,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/16,2,"17 HA + AV",,1,,,,,,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/17,1,"11 HA-PA",,,,,,5,9,10,9,8,8,6,9,6,3,4,1,,,,,
1252,st866_Kuusamo_T,2020/03/17,1,"14 KAPP",,,,,,,1,3,,,1,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/17,1,"15 KATP",,,,,,,2,,,,3,,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/17,1,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/17,2,"11 HA-PA",,,,,,,4,7,10,13,8,2,6,9,4,3,4,3,,,,
1252,st866_Kuusamo_T,2020/03/17,2,"14 KAPP",,,,,,,1,2,,3,,1,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/17,2,"15 KATP",,,,,,,,,,,1,1,,1,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/17,2,"16 HA + PK",,,,,,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/18,1,"11 HA-PA",,,,1,,6,1,1,1,2,3,5,,1,3,,2,,,,,
1252,st866_Kuusamo_T,2020/03/18,1,"12 KAIP",,,,,,,,,,,,,1,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/18,1,"14 KAPP",,,,,,,,,,2,1,,1,4,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/18,1,"15 KATP",,,,,,,,,1,1,,,1,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/18,1,"17 HA + AV",,,,,,,2,,,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/18,2,"11 HA-PA",,,,,,1,1,1,1,1,1,2,2,,,1,3,4,,,,
1252,st866_Kuusamo_T,2020/03/18,2,"12 KAIP",,,,,,,2,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/18,2,"13 Linja-autot",,,,,,,,,,,,,,,,1,1,,,,,
1252,st866_Kuusamo_T,2020/03/18,2,"14 KAPP",,,,,,,1,1,1,2,1,,,1,1,1,,,,,,
1252,st866_Kuusamo_T,2020/03/18,2,"15 KATP",,,,,,1,1,,,1,1,1,,1,,,1,,,,,
1252,st866_Kuusamo_T,2020/03/18,2,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/19,1,"11 HA-PA",,,,,,12,1,,,1,3,7,,,2,6,2,,,,,
1252,st866_Kuusamo_T,2020/03/19,1,"12 KAIP",,,,,,1,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/19,1,"14 KAPP",,,,,,,2,,,1,,2,3,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/19,1,"15 KATP",,,,,,1,2,,,,,1,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/19,1,"17 HA + AV",,,,,,,1,,,1,,,,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/19,2,"11 HA-PA",,,,,,,,1,,2,1,2,1,,1,1,3,3,,,,
1252,st866_Kuusamo_T,2020/03/19,2,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/19,2,"14 KAPP",,,,,,,,1,1,,1,1,,,2,,1,1,,,,
1252,st866_Kuusamo_T,2020/03/19,2,"15 KATP",,,,,,,,,1,1,1,2,,,,,,1,,,,
1252,st866_Kuusamo_T,2020/03/20,1,"11 HA-PA",,,,,,6,,5,,2,2,,1,1,,1,3,,,,,1
1252,st866_Kuusamo_T,2020/03/20,1,"12 KAIP",,,,,,1,,,,,,,,,,,2,,,,,
1252,st866_Kuusamo_T,2020/03/20,1,"14 KAPP",,,,,,2,1,,,1,2,,1,2,,,,,,,,
1252,st866_Kuusamo_T,2020/03/20,1,"15 KATP",,,,,,1,1,,,1,,1,,1,,,1,,,,,
1252,st866_Kuusamo_T,2020/03/20,1,"17 HA + AV",,,,,,1,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/20,2,"11 HA-PA",,,,,,,1,1,,,3,1,,,1,,1,3,,,,
1252,st866_Kuusamo_T,2020/03/20,2,"13 Linja-autot",,,,,,,,1,1,,,,1,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/20,2,"14 KAPP",,,,,,,,,1,1,,1,1,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/20,2,"15 KATP",,,,,,,,,1,,,1,1,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/21,1,"11 HA-PA",,,,,,3,1,2,1,2,1,,,,,,2,,,,,
1252,st866_Kuusamo_T,2020/03/21,1,"12 KAIP",,,,,,,2,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/21,1,"14 KAPP",,,,,,,5,,1,2,,1,5,4,,,,,,,,
1252,st866_Kuusamo_T,2020/03/21,1,"15 KATP",,,,,,,,1,1,1,,1,1,,2,,,,,,,
1252,st866_Kuusamo_T,2020/03/21,1,"16 HA + PK",,,,,,,,,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/21,1,"17 HA + AV",,,,,,,,,,,,,2,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/21,2,"11 HA-PA",,,,,,,,,1,,1,,,,,1,1,2,,,,
1252,st866_Kuusamo_T,2020/03/21,2,"12 KAIP",,,,,,,,,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/03/21,2,"13 Linja-autot",,,,,,,,,1,,1,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/21,2,"14 KAPP",,,,,,,,,2,2,,1,,,1,,1,,,,,
1252,st866_Kuusamo_T,2020/03/21,2,"15 KATP",,,,,,,1,1,,1,,1,,,2,,,,,,,
1252,st866_Kuusamo_T,2020/03/22,1,"11 HA-PA",,,,,,4,2,,,1,,2,4,2,2,,,,,,,
1252,st866_Kuusamo_T,2020/03/22,1,"12 KAIP",,,,,,,,1,,,,,,,,1,2,,,,,
1252,st866_Kuusamo_T,2020/03/22,1,"14 KAPP",,,,,,,2,,,2,,1,3,,,4,,,,,,
1252,st866_Kuusamo_T,2020/03/22,1,"15 KATP",,,,,,,,1,1,3,,,1,1,,2,,,,,,
1252,st866_Kuusamo_T,2020/03/22,1,"16 HA + PK",,,,,,,1,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/22,1,"17 HA + AV",,,,,,,,,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/22,2,"11 HA-PA",,,,,,,1,,,,,1,1,1,,,1,2,,,,
1252,st866_Kuusamo_T,2020/03/22,2,"12 KAIP",,,,,,,,1,,,,,,,,,1,,,,,
1252,st866_Kuusamo_T,2020/03/22,2,"13 Linja-autot",,,,,,,,,,,,1,,,1,,,,,,,
1252,st866_Kuusamo_T,2020/03/22,2,"14 KAPP",,,,,,,,2,1,,,,,,1,,1,,,,,
1252,st866_Kuusamo_T,2020/03/22,2,"15 KATP",,,,,,,1,,,1,,,2,1,,2,,,,,,
1252,st866_Kuusamo_T,2020/03/22,2,"16 HA + PK",,,,,,,,,,,,,2,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/23,1,"11 HA-PA",,,,,,5,,2,1,2,3,4,1,3,,2,,,,,,
1252,st866_Kuusamo_T,2020/03/23,1,"12 KAIP",,,,,,1,,1,,,,1,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/23,1,"14 KAPP",,,,,,3,,2,3,,2,5,2,1,,,2,,,,,
1252,st866_Kuusamo_T,2020/03/23,1,"15 KATP",,,,,,,,3,1,,,3,,3,,,,,,,,
1252,st866_Kuusamo_T,2020/03/23,1,"16 HA + PK",,,,,,1,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/23,1,"17 HA + AV",,,,,,,,,1,,,,1,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/23,2,"11 HA-PA",,,,,,,,,,1,3,,1,2,1,1,1,2,,,,
1252,st866_Kuusamo_T,2020/03/23,2,"13 Linja-autot",,,,,,,,1,,,1,1,,1,,,,,,,,
1252,st866_Kuusamo_T,2020/03/23,2,"14 KAPP",,,,,,,,2,,,3,1,,1,2,2,,,,,,
1252,st866_Kuusamo_T,2020/03/23,2,"15 KATP",,,,,,,,2,,1,1,2,1,1,2,2,,,,,,
1252,st866_Kuusamo_T,2020/03/23,2,"16 HA + PK",,,,,,,1,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/24,1,"11 HA-PA",,,,,,8,3,,1,,2,1,1,,,2,,2,,,,
1252,st866_Kuusamo_T,2020/03/24,1,"12 KAIP",,,,,,1,,,,,,,1,,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/24,1,"14 KAPP",,,,,,3,,3,,5,,,4,,,1,2,,,,,
1252,st866_Kuusamo_T,2020/03/24,1,"15 KATP",,,,,,1,1,,,3,2,1,2,2,,1,,,,,,
1252,st866_Kuusamo_T,2020/03/24,1,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/24,2,"11 HA-PA",,,,,,,,,,1,,,,,,,1,3,,,,
1252,st866_Kuusamo_T,2020/03/24,2,"13 Linja-autot",,,,,,,,1,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/24,2,"14 KAPP",,,,,,,1,,3,1,,,2,1,,2,,,,,,
1252,st866_Kuusamo_T,2020/03/24,2,"15 KATP",,,,,,,,,1,1,,1,2,,2,1,2,,,,,
1252,st866_Kuusamo_T,2020/03/25,1,"11 HA-PA",,,,,,12,,,,1,3,4,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/25,1,"12 KAIP",,,,,,1,,,3,2,,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/25,1,"14 KAPP",,,,,,2,2,,1,3,,,4,,,3,,,,,,
1252,st866_Kuusamo_T,2020/03/25,1,"15 KATP",,,,,,1,,,1,3,1,,1,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/25,1,"16 HA + PK",,,,,,1,,,,,,,,,,,,,,,,
1252,st866_Kuusamo_T,2020/03/25,1,"17 HA + AV",,,,,,,,,1,,,,1,,,1,,,,,,
