"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_01-02,KLO_02-03,KLO_04-05,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_23-00
1429,kt91_Rajajooseppi,2020/02/28,2,"12 KAIP",,,,,,1,,,,,,,,,,1,,,
1429,kt91_Rajajooseppi,2020/02/28,2,"14 KAPP",,,,,,3,,,,2,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/28,2,"16 HA + PK",,,,,,,1,,1,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/28,2,"17 HA + AV",,,,,,1,,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/29,1,"11 HA-PA",,,,,1,2,,6,6,11,6,14,6,7,3,2,1,,
1429,kt91_Rajajooseppi,2020/02/29,1,"12 KAIP",,,,,,,,,,,,,,1,,,,,
1429,kt91_Rajajooseppi,2020/02/29,1,"14 KAPP",,,,,,,,,,,1,,,1,,,,,
1429,kt91_Rajajooseppi,2020/02/29,2,"11 HA-PA",,,,7,11,32,27,6,9,10,3,7,1,2,,3,,,
1429,kt91_Rajajooseppi,2020/02/29,2,"12 KAIP",,,,,,,1,,,,,,,,,,,,
1429,kt91_Rajajooseppi,2020/02/29,2,"14 KAPP",,,,,,,,,,1,,,,,,,,,
