Station id,Station name,Date,Number of trips
34,Kansallismuseo,2020-03-29,6
34,Kansallismuseo,2020-03-30,8
35,Cygnaeuksenkatu,2020-03-23,0
35,Cygnaeuksenkatu,2020-03-24,12
35,Cygnaeuksenkatu,2020-03-25,0
35,Cygnaeuksenkatu,2020-03-26,16
35,Cygnaeuksenkatu,2020-03-27,0
35,Cygnaeuksenkatu,2020-03-28,0
35,Cygnaeuksenkatu,2020-03-29,17
35,Cygnaeuksenkatu,2020-03-30,0
36,Apollonkatu,2020-03-23,0
36,Apollonkatu,2020-03-24,18
36,Apollonkatu,2020-03-25,21
36,Apollonkatu,2020-03-26,39
36,Apollonkatu,2020-03-27,36
36,Apollonkatu,2020-03-28,53
36,Apollonkatu,2020-03-29,45
36,Apollonkatu,2020-03-30,44
37,Töölönkatu,2020-03-23,24
37,Töölönkatu,2020-03-24,32
37,Töölönkatu,2020-03-25,24
37,Töölönkatu,2020-03-26,26
37,Töölönkatu,2020-03-27,28
37,Töölönkatu,2020-03-28,29
37,Töölönkatu,2020-03-29,42
37,Töölönkatu,2020-03-30,19
38,Töölöntori,2020-03-23,12
38,Töölöntori,2020-03-24,16
38,Töölöntori,2020-03-25,15
38,Töölöntori,2020-03-26,12
38,Töölöntori,2020-03-27,21
38,Töölöntori,2020-03-28,28
38,Töölöntori,2020-03-29,26
38,Töölöntori,2020-03-30,18
39,Ooppera,2020-03-23,30
39,Ooppera,2020-03-24,42
39,Ooppera,2020-03-25,33
39,Ooppera,2020-03-26,58
39,Ooppera,2020-03-27,37
39,Ooppera,2020-03-28,42
39,Ooppera,2020-03-29,52
39,Ooppera,2020-03-30,36
40,Hakaniemi (M),2020-03-23,17
40,Hakaniemi (M),2020-03-24,44
40,Hakaniemi (M),2020-03-25,21
40,Hakaniemi (M),2020-03-26,29
40,Hakaniemi (M),2020-03-27,37
40,Hakaniemi (M),2020-03-28,53
40,Hakaniemi (M),2020-03-29,46
40,Hakaniemi (M),2020-03-30,38
41,Ympyrätalo,2020-03-23,40
41,Ympyrätalo,2020-03-24,37
41,Ympyrätalo,2020-03-25,42
41,Ympyrätalo,2020-03-26,72
41,Ympyrätalo,2020-03-27,55
41,Ympyrätalo,2020-03-28,72
41,Ympyrätalo,2020-03-29,57
41,Ympyrätalo,2020-03-30,64
42,Haapaniemenkatu,2020-03-23,0
42,Haapaniemenkatu,2020-03-24,0
42,Haapaniemenkatu,2020-03-25,0
42,Haapaniemenkatu,2020-03-26,0
42,Haapaniemenkatu,2020-03-27,0
42,Haapaniemenkatu,2020-03-28,0
42,Haapaniemenkatu,2020-03-29,0
42,Haapaniemenkatu,2020-03-30,0
43,Karhupuisto,2020-03-23,0
43,Karhupuisto,2020-03-24,0
43,Karhupuisto,2020-03-25,0
43,Karhupuisto,2020-03-26,0
43,Karhupuisto,2020-03-27,0
43,Karhupuisto,2020-03-28,0
43,Karhupuisto,2020-03-29,0
43,Karhupuisto,2020-03-30,0
44,Sörnäinen (M),2020-03-23,13
44,Sörnäinen (M),2020-03-24,24
44,Sörnäinen (M),2020-03-25,29
44,Sörnäinen (M),2020-03-26,25
44,Sörnäinen (M),2020-03-27,29
44,Sörnäinen (M),2020-03-28,35
44,Sörnäinen (M),2020-03-29,42
44,Sörnäinen (M),2020-03-30,34
45,Brahen kenttä,2020-03-23,17
45,Brahen kenttä,2020-03-24,23
45,Brahen kenttä,2020-03-25,36
45,Brahen kenttä,2020-03-26,32
45,Brahen kenttä,2020-03-27,40
45,Brahen kenttä,2020-03-28,45
45,Brahen kenttä,2020-03-29,57
45,Brahen kenttä,2020-03-30,31
46,Diakoniapuisto,2020-03-23,0
46,Diakoniapuisto,2020-03-24,0
46,Diakoniapuisto,2020-03-25,0
46,Diakoniapuisto,2020-03-26,0
46,Diakoniapuisto,2020-03-27,0
46,Diakoniapuisto,2020-03-28,0
46,Diakoniapuisto,2020-03-29,0
46,Diakoniapuisto,2020-03-30,0
47,Vanha Kauppahalli,2020-03-23,3
47,Vanha Kauppahalli,2020-03-24,3
47,Vanha Kauppahalli,2020-03-25,2
47,Vanha Kauppahalli,2020-03-26,9
47,Vanha Kauppahalli,2020-03-27,5
47,Vanha Kauppahalli,2020-03-28,7
47,Vanha Kauppahalli,2020-03-29,7
47,Vanha Kauppahalli,2020-03-30,9
48,Mastokatu,2020-03-23,9
48,Mastokatu,2020-03-24,8
48,Mastokatu,2020-03-25,3
48,Mastokatu,2020-03-26,9
48,Mastokatu,2020-03-27,10
48,Mastokatu,2020-03-28,23
48,Mastokatu,2020-03-29,23
48,Mastokatu,2020-03-30,11
49,Annankatu,2020-03-23,12
49,Annankatu,2020-03-24,13
49,Annankatu,2020-03-25,12
49,Annankatu,2020-03-26,16
49,Annankatu,2020-03-27,16
49,Annankatu,2020-03-28,15
49,Annankatu,2020-03-29,24
49,Annankatu,2020-03-30,26
50,Melkonkuja,2020-03-23,4
50,Melkonkuja,2020-03-24,8
50,Melkonkuja,2020-03-25,4
50,Melkonkuja,2020-03-26,5
50,Melkonkuja,2020-03-27,8
50,Melkonkuja,2020-03-28,20
50,Melkonkuja,2020-03-29,25
50,Melkonkuja,2020-03-30,14
51,Itälahdenkatu,2020-03-23,4
51,Itälahdenkatu,2020-03-24,11
51,Itälahdenkatu,2020-03-25,10
51,Itälahdenkatu,2020-03-26,11
51,Itälahdenkatu,2020-03-27,10
51,Itälahdenkatu,2020-03-28,23
51,Itälahdenkatu,2020-03-29,24
51,Itälahdenkatu,2020-03-30,11
52,Heikkilänaukio,2020-03-23,14
52,Heikkilänaukio,2020-03-24,11
52,Heikkilänaukio,2020-03-25,13
52,Heikkilänaukio,2020-03-26,12
52,Heikkilänaukio,2020-03-27,15
52,Heikkilänaukio,2020-03-28,29
52,Heikkilänaukio,2020-03-29,22
52,Heikkilänaukio,2020-03-30,19
53,Heikkiläntie,2020-03-23,12
53,Heikkiläntie,2020-03-24,11
53,Heikkiläntie,2020-03-25,7
53,Heikkiläntie,2020-03-26,13
53,Heikkiläntie,2020-03-27,13
53,Heikkiläntie,2020-03-28,19
53,Heikkiläntie,2020-03-29,23
53,Heikkiläntie,2020-03-30,19
54,Gyldenintie,2020-03-23,10
54,Gyldenintie,2020-03-24,12
54,Gyldenintie,2020-03-25,13
